year,Armed_Assault,Assassination,Bombing_Explosion,Facility_Infrastructure_Attack,Hostage_Taking_Kidnapping,Unknown
1970,61,22,333,174,38,6
1971,44,70,239,88,20,3
1972,63,265,188,19,16,1
1973,62,164,149,36,43,1
1974,46,158,285,42,37,1
1975,81,181,370,64,27,3
1976,124,204,419,113,45,5
1977,255,146,635,182,67,14
1978,241,263,644,181,97,52
1979,447,526,1058,197,146,196
1980,574,618,997,169,140,98
1981,697,405,1082,151,122,74
1982,665,361,1125,148,105,79
1983,852,360,1246,142,124,110
1984,823,443,1776,162,77,157
1985,659,311,1482,138,116,134
1986,592,371,1506,141,96,117
1987,798,495,1477,120,99,163
1988,922,821,1649,151,109,39
1989,1121,980,1797,240,130,17
1990,876,877,1731,190,168,13
1991,1271,730,1988,353,222,64
1992,1327,1111,1738,472,142,187
1994,816,771,1153,189,191,204
1995,740,729,791,296,141,232
1996,638,478,1219,216,155,291
1997,826,420,1123,137,299,348
1998,264,24,504,58,43,23
1999,367,61,652,114,114,39
2000,493,103,904,111,125,43
2001,582,127,800,148,145,45
2002,367,73,720,49,79,25
2003,315,88,689,88,46,27
2004,259,104,659,33,77,26
2005,512,225,1064,50,120,38
2006,739,140,1506,107,202,39
2007,849,140,1866,115,223,30
2008,1093,219,2662,285,388,106
2009,1115,228,2568,348,279,137
2010,1114,360,2510,293,391,116
2011,1395,342,2590,242,363,113
2012,2085,461,5083,305,353,182
2013,2962,853,6685,564,634,256
2014,4071,920,8799,783,1397,784
2015,3368,927,7662,705,1197,891
2016,2733,821,7108,696,1132,922
2017,2365,816,5024,751,878,825
