homelat,homelon,homecontinent,country,n
-53.154613,-70.916943,South America,Chile,1
-51.692214,-57.8589,South America,Falkland Islands,0
-45.867889,-67.499911,South America,Argentina,0
-45.571112,-72.068517,South America,Chile,0
-45.403544,-72.686416,South America,Chile,0
-43.532054,172.636225,Australasia & Oceania,New Zealand,0
-42.884049,147.323719,Australasia & Oceania,Australia,0
-42.250458,-71.149094,South America,Argentina,0
-41.472903,-72.9369,South America,Chile,0
-41.286545,174.776282,Australasia & Oceania,New Zealand,1
-41.28646,174.776236,Australasia & Oceania,New Zealand,0
-41.256801,-71.286438,South America,Argentina,0
-41.15,-71.3,South America,Argentina,0
-41.133957,-71.310364,South America,Argentina,0
-41.133472,-71.310278,South America,Argentina,0
-41.124433,175.070783,Australasia & Oceania,New Zealand,0
-40.734434,-66.617645,South America,Argentina,0
-40.619518,-72.472989,South America,Chile,0
-40.57472,-73.131919,South America,Chile,1
-40.231022,-72.331113,South America,Chile,0
-40.155527,-71.354195,South America,Argentina,0
-39.837144,-72.085313,South America,Chile,1
-39.820083,-73.245395,South America,Chile,2
-39.819515,-73.245027,South America,Chile,0
-39.8,-71.95,South America,Chile,8
-38.9573,-72.626929,South America,Chile,0
-38.951872,-68.059079,South America,Argentina,0
-38.948921,-72.331113,South America,Chile,0
-38.94892,-72.331113,South America,Chile,0
-38.893953,-72.432467,South America,Chile,0
-38.87606,-62.074089,South America,Argentina,0
-38.770248,-72.586749,South America,Chile,0
-38.764244,-72.406216,South America,Chile,0
-38.735973,-72.589261,South America,Chile,0
-38.735902,-72.590374,South America,Chile,0
-38.734133,-72.584651,South America,Chile,2
-38.713081,-62.268631,South America,Argentina,0
-38.698045,-72.326232,South America,Chile,0
-38.675086,-72.220952,South America,Chile,0
-38.668759,-72.224956,South America,Chile,2
-38.668304,-72.222626,South America,Chile,0
-38.667719,-72.224441,South America,Chile,2
-38.667513,-72.224409,South America,Chile,0
-38.387578,-71.933745,South America,Chile,0
-38.250867,-72.666507,South America,Chile,0
-38.232654,-72.351508,South America,Chile,0
-38.232213,-72.351653,South America,Chile,0
-38.232212,-72.351441,South America,Chile,0
-38.16402,-72.903185,South America,Chile,0
-38.163995,-72.903248,South America,Chile,0
-38.138255,144.348328,Australasia & Oceania,Australia,0
-38.133743,144.333937,Australasia & Oceania,Australia,0
-38.094181,144.3571,Australasia & Oceania,Australia,0
-38.091417,144.357575,Australasia & Oceania,Australia,0
-38.063818,-72.374219,South America,Chile,0
-38.047645,144.170032,Australasia & Oceania,Australia,0
-37.997567,-57.54823,South America,Argentina,2
-37.988975,145.217452,Australasia & Oceania,Australia,0
-37.957009,176.986756,Australasia & Oceania,New Zealand,0
-37.956974,-72.431389,South America,Chile,0
-37.9552,-72.432741,South America,Chile,0
-37.906633,145.007628,Australasia & Oceania,Australia,2
-37.898215,144.995554,Australasia & Oceania,Australia,0
-37.895659,-65.095779,South America,Argentina,0
-37.858684,144.996338,Australasia & Oceania,Australia,0
-37.837206,-57.502109,South America,Argentina,1
-37.833104,-73.390223,South America,Chile,0
-37.8182,144.965,Australasia & Oceania,Australia,1
-37.814107,144.96328,Australasia & Oceania,Australia,1
-37.813187,144.96298,Australasia & Oceania,Australia,2
-37.808896,144.950421,Australasia & Oceania,Australia,0
-37.800413,-73.399194,South America,Chile,0
-37.789922,145.170775,Australasia & Oceania,Australia,0
-37.713581,-73.37087,South America,Chile,0
-37.698179,144.965079,Australasia & Oceania,Australia,0
-37.698082,144.964664,Australasia & Oceania,Australia,0
-37.698036,144.965437,Australasia & Oceania,Australia,0
-37.512183,-72.323872,South America,Chile,0
-37.505926,-72.673688,South America,Chile,0
-37.4728,-72.354453,South America,Chile,3
-37.201728,-59.84107,South America,Argentina,0
-37.136988,-63.666735,South America,Argentina,0
-37.10268,-56.865364,South America,Argentina,1
-37.101382,-72.325337,South America,Chile,0
-37.092019,-73.154582,South America,Chile,0
-37.087761,-73.16021,South America,Chile,0
-37.029655,-73.144447,South America,Chile,0
-36.93456,-73.022016,South America,Chile,0
-36.901696,-73.026366,South America,Chile,0
-36.84846,174.763332,Australasia & Oceania,New Zealand,0
-36.823788,-72.668472,South America,Chile,0
-36.818977,-73.050319,South America,Chile,0
-36.816006,-73.037659,South America,Chile,7
-36.776542,-73.158316,South America,Chile,1
-36.774967,-59.854038,South America,Argentina,2
-36.748146,-73.11232,South America,Chile,2
-36.733394,-72.98319,South America,Chile,0
-36.613437,-72.958714,South America,Chile,0
-36.609282,-72.102064,South America,Chile,0
-36.566667,-72.418333,South America,Chile,0
-36.39351,-72.397629,South America,Chile,0
-36.35772,146.696395,Australasia & Oceania,Australia,0
-35.963961,-71.682851,South America,Chile,0
-35.847291,-71.598991,South America,Chile,0
-35.695661,-71.406348,South America,Chile,0
-35.675149,-71.542969,South America,Chile,0
-35.595466,-71.729713,South America,Chile,0
-35.512345,-71.573828,South America,Chile,0
-35.5,-71.316667,South America,Chile,0
-35.431253,-71.657786,South America,Chile,0
-35.43058,-71.65762,South America,Chile,1
-35.383823,-71.447049,South America,Chile,0
-35.349304,149.244385,Australasia & Oceania,Australia,1
-35.308236,149.124224,Australasia & Oceania,Australia,0
-35.138948,-71.368387,South America,Chile,0
-35.116193,-71.283189,South America,Chile,3
-34.9994,-71.250262,South America,Chile,0
-34.986003,-71.241549,South America,Chile,1
-34.975379,-58.380729,South America,Argentina,0
-34.967778,-71.378889,South America,Chile,0
-34.962163,-71.131884,South America,Chile,0
-34.928726,138.599945,Australasia & Oceania,Australia,3
-34.921295,-57.954333,South America,Argentina,15
-34.900044,-54.949784,South America,Uruguay,0
-34.891151,-56.187214,South America,Uruguay,5
-34.864823,-57.908519,South America,Argentina,0
-34.863087,-55.272887,South America,Uruguay,0
-34.850419,-57.902053,South America,Argentina,0
-34.68631,-58.528473,South America,Argentina,9
-34.654619,-59.428372,South America,Argentina,0
-34.633795,-71.110827,South America,Chile,0
-34.61768,-58.444435,South America,Argentina,377
-34.59954,138.749141,Australasia & Oceania,Australia,1
-34.585716,-70.991131,South America,Chile,0
-34.547304,150.86172,Australasia & Oceania,Australia,0
-34.458721,-58.90725,South America,Argentina,1
-34.422436,-58.737755,South America,Argentina,0
-34.366727,-55.2329,South America,Uruguay,0
-34.340137,-58.784779,South America,Argentina,0
-34.287503,-71.085755,South America,Chile,2
-34.170331,-70.740822,South America,Chile,0
-34.12021,18.842361,Sub-Saharan Africa,South Africa,2
-34.115317,18.860585,Sub-Saharan Africa,South Africa,1
-34.105588,18.471035,Sub-Saharan Africa,South Africa,0
-34.098808,-59.032291,South America,Argentina,0
-34.089593,18.85292,Sub-Saharan Africa,South Africa,10
-34.087702,18.456707,Sub-Saharan Africa,South Africa,0
-34.083275,18.849778,Sub-Saharan Africa,South Africa,0
-34.066106,18.614504,Sub-Saharan Africa,South Africa,0
-34.066086,18.614578,Sub-Saharan Africa,South Africa,0
-34.057188,18.865482,Sub-Saharan Africa,South Africa,0
-34.047695,18.60564,Sub-Saharan Africa,South Africa,1
-34.040083,18.677805,Sub-Saharan Africa,South Africa,24
-34.039926,18.662892,Sub-Saharan Africa,South Africa,0
-34.034498,18.55819,Sub-Saharan Africa,South Africa,0
-34.031804,150.850332,Australasia & Oceania,Australia,0
-34.026677,18.748932,Sub-Saharan Africa,South Africa,0
-34.016667,18.55,Sub-Saharan Africa,South Africa,1
-34.016521,18.634634,Sub-Saharan Africa,South Africa,5
-34.015365,18.649458,Sub-Saharan Africa,South Africa,5
-34.008446,18.466182,Sub-Saharan Africa,South Africa,0
-33.998495,18.738585,Sub-Saharan Africa,South Africa,0
-33.996568,18.477421,Sub-Saharan Africa,South Africa,0
-33.995515,18.584543,Sub-Saharan Africa,South Africa,4
-33.991005,18.56384,Sub-Saharan Africa,South Africa,0
-33.985833,18.500278,Sub-Saharan Africa,South Africa,0
-33.98263,18.569386,Sub-Saharan Africa,South Africa,19
-33.981614,18.550276,Sub-Saharan Africa,South Africa,3
-33.981557,18.56763,Sub-Saharan Africa,South Africa,0
-33.978578,18.580468,Sub-Saharan Africa,South Africa,1
-33.974952,18.543348,Sub-Saharan Africa,South Africa,0
-33.967423,-59.205877,South America,Argentina,0
-33.963864,18.502495,Sub-Saharan Africa,South Africa,0
-33.963038,18.501671,Sub-Saharan Africa,South Africa,1
-33.9585,25.600682,Sub-Saharan Africa,South Africa,17
