gname,frequency
Unknown,82782
Taliban,7478
Islamic State of Iraq and the Levant (ISIL),5613
Shining Path (SL),4555
Farabundo Marti National Liberation Front (FMLN),3351
Al-Shabaab,3288
New People's Army (NPA),2772
Irish Republican Army (IRA),2671
Revolutionary Armed Forces of Colombia (FARC),2487
Boko Haram,2418
Kurdistan Workers' Party (PKK),2310
Basque Fatherland and Freedom (ETA),2024
Communist Party of India - Maoist (CPI-Maoist),1878
Maoists,1630
Liberation Tigers of Tamil Eelam (LTTE),1606
National Liberation Army of Colombia (ELN),1561
Tehrik-i-Taliban Pakistan (TTP),1351
Palestinians,1125
Houthi extremists (Ansar Allah),1062
Al-Qaida in the Arabian Peninsula (AQAP),1020
Nicaraguan Democratic Force (FDN),895
Manuel Rodriguez Patriotic Front (FPMR),830
Sikh Extremists,716
Corsican National Liberation Front (FLNC),639
Al-Qaida in Iraq,638
Muslim extremists,632
Donetsk People's Republic,624
African National Congress (South Africa),607
Separatists,589
Tupac Amaru Revolutionary Movement (MRTA),557
M-19 (Movement of April 19),555
Abu Sayyaf Group (ASG),527
Fulani extremists,511
Sinai Province of the Islamic State,445
Palestinian Extremists,441
People's Liberation Front (JVP),433
National Union for the Total Independence of Angola (UNITA),432
Hamas (Islamic Resistance Movement),408
Hezbollah,406
Bangsamoro Islamic Freedom Movement (BIFM),391
Algerian Islamic Extremists,373
Narco-Terrorists,368
Moro Islamic Liberation Front (MILF),366
United Liberation Front of Assam (ULFA),357
Tripoli Province of the Islamic State,350
Khorasan Chapter of the Islamic State,343
Protestant extremists,334
Chechen Rebels,328
Death Squad,326
Lord's Resistance Army (LRA),322
