gname,target,Number_of_Cases
1 May,Business,5
1 May,Government (Diplomatic),2
1 May,Government (General),2
1 May,Police,1
14 K Triad,Business,1
14 K Triad,Private Citizens & Property,3
14 March Coalition,Terrorists/Non-State Militia,1
14th of December Command,Business,1
14th of December Command,Religious Figures/Institutions,2
15th of September Liberation Legion,Journalists & Media,1
16 January Organization for the Liberation of Tripoli,Military,24
1920 Revolution Brigades,Journalists & Media,1
1920 Revolution Brigades,Telecommunication,1
19th of July Christian Resistance Brigade,Military,1
1st of May Group,Airports & Aircraft,2
1st of May Group,Government (Diplomatic),1
1st of May Group,Government (General),1
2 April Group,Educational Institution,3
2 April Group,Government (General),2
2 April Group,Military,1
20 December Movement (M-20),Business,1
20 December Movement (M-20),Government (Diplomatic),3
20 December Movement (M-20),Government (General),5
20 December Movement (M-20),Journalists & Media,1
20 December Movement (M-20),Military,1
20 December Movement (M-20),Private Citizens & Property,3
20 December Movement (M-20),Utilities,2
22 May 1948,Telecommunication,1
23 May Democratic Alliance (Algeria),Business,1
23 May Democratic Alliance (Algeria),Government (General),1
23 May Democratic Alliance (Algeria),Tourists,1
23rd of September Communist League,Business,22
23rd of September Communist League,Educational Institution,2
23rd of September Communist League,Government (Diplomatic),2
23rd of September Communist League,Government (General),4
23rd of September Communist League,Journalists & Media,1
23rd of September Communist League,Military,1
23rd of September Communist League,Police,12
28 February Armed Group,Transportation,1
28 May Armenian Organization,Airports & Aircraft,1
28 May Armenian Organization,Transportation,1
28s,Private Citizens & Property,1
28th of December Group,Government (General),2
2nd of June Movement,Business,4
2nd of June Movement,Educational Institution,1
2nd of June Movement,Government (General),3
2nd of June Movement,Maritime,1
2nd of June Movement,Police,3
2nd of June Movement,Terrorists/Non-State Militia,1
2nd of June Movement,Unknown,1
31 January People's Front (FP-31),Airports & Aircraft,1
31 January People's Front (FP-31),Business,2
31 January People's Front (FP-31),Government (Diplomatic),1
31 January People's Front (FP-31),Government (General),1
31 January People's Front (FP-31),Private Citizens & Property,10
31 January People's Front (FP-31),Transportation,2
313 Brigade (Syria),Private Citizens & Property,1
313 Brigade (Syria),Terrorists/Non-State Militia,2
4 August National Organization,Business,2
7 April Libyan Organization,Airports & Aircraft,1
7 April Libyan Organization,NGO,1
7 April Libyan Organization,Private Citizens & Property,1
9 February,Government (Diplomatic),1
9 February,Government (General),1
9 February,Military,18
9 February,Private Citizens & Property,1
9 May People's Liberation Force,Educational Institution,3
9 May People's Liberation Force,Private Citizens & Property,1
A Resistance Group,Business,1
A'chik Matgrik Elite Force (AMEF),Business,4
A'chik Matgrik Elite Force (AMEF),Private Citizens & Property,2
AFB,Business,1
AGEL,Religious Figures/Institutions,1
ATALA,Government (General),1
Aba Cheali Group,Military,1
Abbala extremists,Private Citizens & Property,4
Abbala extremists,Religious Figures/Institutions,1
Abd al-Krim Commandos,Airports & Aircraft,1
Abd al-Krim Commandos,Business,1
Abdul Ghani Kikli Militia,Private Citizens & Property,1
Abdul Qader Husseini Battalions of the Free Palestine movement,Private Citizens & Property,1
Abdullah Azzam Brigades,Business,3
Abdullah Azzam Brigades,Educational Institution,1
Abdullah Azzam Brigades,Government (Diplomatic),2
Abdullah Azzam Brigades,Government (General),1
Abdullah Azzam Brigades,Maritime,1
Abdullah Azzam Brigades,Military,5
Abdullah Azzam Brigades,Police,1
Abdullah Azzam Brigades,Private Citizens & Property,7
Abdullah Azzam Brigades,Terrorists/Non-State Militia,1
Abdullah Azzam Brigades,Tourists,1
Abdullah Azzam Brigades,Unknown,3
Abida Tribe,Government (Diplomatic),1
Abida Tribe,Private Citizens & Property,1
Abida Tribe,Utilities,1
Abkhazian Separatists,Military,2
Abkhazian Separatists,Police,1
Abkhazian Separatists,Private Citizens & Property,1
Abkhazian Separatists,Terrorists/Non-State Militia,1
Abkhazian guerrillas,Military,1
Abkhazian guerrillas,Transportation,1
Abstentionist Brigades,Government (General),2
Abu Abbas Brigade,Government (General),1
Abu Amarah Battalion,Journalists & Media,1
Abu Amarah Battalion,Private Citizens & Property,1
Abu Amarah Battalion,Violent Political Party,1
Abu Bakr Unis Jabr Brigade,Government (General),1
Abu Hassan,Government (General),1
Abu Jaafar al-Mansur Brigades,Military,1
Abu Musa Group,Military,1
Abu Nidal Organization (ANO),Airports & Aircraft,7
Abu Nidal Organization (ANO),Business,6
Abu Nidal Organization (ANO),Government (Diplomatic),8
Abu Nidal Organization (ANO),Government (General),1
Abu Nidal Organization (ANO),Maritime,2
Abu Nidal Organization (ANO),Military,4
Abu Nidal Organization (ANO),NGO,2
Abu Nidal Organization (ANO),Private Citizens & Property,4
Abu Nidal Organization (ANO),Religious Figures/Institutions,1
Abu Nidal Organization (ANO),Terrorists/Non-State Militia,11
Abu Nidal Organization (ANO),Transportation,1
Abu Nidal Organization (ANO),Violent Political Party,4
Abu Obaida bin Jarrah Brigade,Government (General),1
Abu Obaida bin Jarrah Brigade,Private Citizens & Property,4
Abu Salim Martyr's Brigade,Private Citizens & Property,1
Abu Sayyaf Group (ASG),Airports & Aircraft,2
Abu Sayyaf Group (ASG),Business,87
Abu Sayyaf Group (ASG),Educational Institution,22
Abu Sayyaf Group (ASG),Food or Water Supply,2
Abu Sayyaf Group (ASG),Government (General),52
Abu Sayyaf Group (ASG),Journalists & Media,7
Abu Sayyaf Group (ASG),Maritime,29
Abu Sayyaf Group (ASG),Military,94
Abu Sayyaf Group (ASG),NGO,7
Abu Sayyaf Group (ASG),Other,1
Abu Sayyaf Group (ASG),Police,28
Abu Sayyaf Group (ASG),Private Citizens & Property,125
Abu Sayyaf Group (ASG),Religious Figures/Institutions,22
Abu Sayyaf Group (ASG),Telecommunication,1
Abu Sayyaf Group (ASG),Terrorists/Non-State Militia,1
Abu Sayyaf Group (ASG),Tourists,9
Abu Sayyaf Group (ASG),Transportation,18
Abu Sayyaf Group (ASG),Unknown,17
Abu Sayyaf Group (ASG),Utilities,3
Abu Tira (Central Reserve Forces),Private Citizens & Property,1
