year,Unknown,Taliban,ISIL,SL,FMLN,Shabaab,NPA,IRA,FARC,Boko,PKK,ETA,Communist Party of India - Maoist (CPI-Maoist),Maoists,LTTE,ELN,TTP,Palestinians,Houthi,AQAP
1970.0,115.0,,,,,,2.0,7.0,,,,1.0,,,,,,3.0,,
1971.0,98.0,,,,,,1.0,60.0,,,,4.0,,,,,,,,
1972.0,73.0,,,,,,,162.0,,,,4.0,,,,1.0,,4.0,,
1973.0,112.0,,,,,,,111.0,,,,3.0,,,,4.0,,6.0,,
1974.0,115.0,,,,,,,113.0,,,,10.0,,,,,,3.0,,
1975.0,128.0,,,,,,,75.0,2.0,,,34.0,,,1.0,5.0,,5.0,,
1976.0,303.0,,,,,,3.0,93.0,3.0,,,17.0,,,,4.0,,2.0,,
1977.0,520.0,,,,,,2.0,109.0,28.0,,,54.0,,,,8.0,,5.0,,
1978.0,499.0,,,1.0,1.0,,5.0,88.0,27.0,,,131.0,,,,6.0,,28.0,,
1979.0,799.0,,,1.0,,,13.0,207.0,46.0,,,171.0,,1.0,3.0,6.0,,98.0,,
1980.0,1217.0,,,25.0,159.0,,3.0,94.0,38.0,,,131.0,,2.0,,7.0,,77.0,,
1981.0,1222.0,,,87.0,160.0,,12.0,103.0,53.0,,,69.0,,,,9.0,,36.0,,
1982.0,998.0,,,249.0,284.0,,13.0,56.0,64.0,,,115.0,,,,19.0,,77.0,,
1983.0,704.0,,,493.0,320.0,,7.0,134.0,89.0,,,102.0,,,1.0,23.0,,112.0,,
1984.0,1023.0,,,502.0,254.0,,18.0,118.0,54.0,,3.0,81.0,,,3.0,24.0,,13.0,,
1985.0,684.0,,,249.0,422.0,,84.0,53.0,36.0,,,93.0,,2.0,17.0,65.0,,3.0,,
1986.0,826.0,,,391.0,174.0,,46.0,45.0,32.0,,1.0,102.0,,2.0,15.0,60.0,,3.0,,
1987.0,657.0,,,464.0,209.0,,118.0,79.0,64.0,,6.0,65.0,,,35.0,94.0,,15.0,,
1988.0,977.0,,,277.0,351.0,,178.0,133.0,58.0,,22.0,83.0,,,134.0,131.0,,12.0,,
1989.0,1184.0,,,509.0,335.0,,106.0,124.0,25.0,,84.0,127.0,,,70.0,109.0,,111.0,,
1990.0,1230.0,,,371.0,181.0,,183.0,107.0,30.0,,122.0,80.0,,2.0,120.0,78.0,,138.0,,
1991.0,1388.0,,,426.0,492.0,,96.0,202.0,145.0,,80.0,85.0,,,113.0,68.0,,119.0,,
1992.0,1822.0,,,286.0,8.0,,64.0,184.0,54.0,,361.0,50.0,,1.0,95.0,97.0,,126.0,,
1994.0,1464.0,,,74.0,1.0,,10.0,147.0,39.0,,182.0,41.0,,,25.0,63.0,,84.0,,
1995.0,1572.0,4.0,,34.0,,,2.0,4.0,47.0,,126.0,36.0,,1.0,111.0,16.0,,14.0,,
1996.0,1592.0,,,23.0,,,2.0,12.0,70.0,,22.0,44.0,,,151.0,116.0,,,,
